Date,close_week_average
2/7/2022,4503.062
2/4/2022,4525.888
2/3/2022,4525.888
2/2/2022,4525.888
2/1/2022,4525.888
1/31/2022,4525.888
1/28/2022,4374.974
1/27/2022,4374.974
1/26/2022,4374.974
1/25/2022,4374.974
1/24/2022,4374.974
1/21/2022,4497.635
1/20/2022,4497.635
1/19/2022,4497.635
1/18/2022,4497.635
1/14/2022,4686.318
1/13/2022,4686.318
1/12/2022,4686.318
1/11/2022,4686.318
1/10/2022,4686.318
1/7/2022,4732.752
1/6/2022,4732.752
1/5/2022,4732.752
1/4/2022,4732.752
1/3/2022,4732.752
12/31/2021,4766.18
12/30/2021,4787.3325
12/29/2021,4787.3325
12/28/2021,4787.3325
12/27/2021,4787.3325
12/23/2021,4652.048
12/22/2021,4652.048
12/21/2021,4652.048
12/20/2021,4652.048
12/17/2021,4652.048
12/16/2021,4678.72
12/15/2021,4678.72
12/14/2021,4678.72
12/13/2021,4678.72
12/10/2021,4678.72
12/9/2021,4637.102
12/8/2021,4637.102
12/7/2021,4637.102
12/6/2021,4637.102
12/3/2021,4637.102
12/2/2021,4581.406
12/1/2021,4581.406
11/30/2021,4581.406
11/29/2021,4581.406
11/26/2021,4581.406
11/24/2021,4693.265
11/23/2021,4693.265
11/22/2021,4693.265
11/19/2021,4693.265
11/18/2021,4691.952
11/17/2021,4691.952
11/16/2021,4691.952
11/15/2021,4691.952
11/12/2021,4691.952
11/11/2021,4676.092
11/10/2021,4676.092
11/9/2021,4676.092
11/8/2021,4676.092
11/5/2021,4676.092
11/4/2021,4638.066
11/3/2021,4638.066
11/2/2021,4638.066
11/1/2021,4638.066
10/29/2021,4638.066
